date,valeur,mot_cle
2021-12-01,4,ia
2022-01-01,5,ia
2022-02-01,4,ia
2022-03-01,5,ia
2022-04-01,4,ia
2022-05-01,5,ia
2022-06-01,6,ia
2022-07-01,4,ia
2022-08-01,4,ia
2022-09-01,6,ia
2022-10-01,6,ia
2022-11-01,7,ia
2022-12-01,12,ia
2023-01-01,16,ia
2023-02-01,14,ia
2023-03-01,17,ia
2023-04-01,20,ia
2023-05-01,22,ia
2023-06-01,20,ia
2023-07-01,17,ia
2023-08-01,18,ia
2023-09-01,23,ia
2023-10-01,28,ia
2023-11-01,30,ia
2023-12-01,34,ia
2024-01-01,32,ia
2024-02-01,37,ia
2024-03-01,39,ia
2024-04-01,40,ia
2024-05-01,40,ia
2024-06-01,38,ia
2024-07-01,32,ia
2024-08-01,34,ia
2024-09-01,46,ia
2024-10-01,54,ia
2024-11-01,58,ia
2024-12-01,61,ia
2025-01-01,74,ia
2025-02-01,100,ia
2025-03-01,80,ia
2025-04-01,85,ia
2025-05-01,76,ia
2025-06-01,72,ia
2025-07-01,58,ia
2025-08-01,55,ia
2025-09-01,71,ia
2025-10-01,83,ia
2025-11-01,89,ia
2025-12-01,88,ia
2020-01-01,14,intelligence artificielle
2020-02-01,14,intelligence artificielle
2020-03-01,12,intelligence artificielle
2020-04-01,13,intelligence artificielle
2020-05-01,11,intelligence artificielle
2020-06-01,9,intelligence artificielle
2020-07-01,7,intelligence artificielle
2020-08-01,7,intelligence artificielle
2020-09-01,11,intelligence artificielle
2020-10-01,12,intelligence artificielle
2020-11-01,14,intelligence artificielle
2020-12-01,12,intelligence artificielle
2021-01-01,13,intelligence artificielle
2021-02-01,12,intelligence artificielle
2021-03-01,14,intelligence artificielle
2021-04-01,11,intelligence artificielle
2021-05-01,12,intelligence artificielle
2021-06-01,10,intelligence artificielle
2021-07-01,6,intelligence artificielle
2021-08-01,7,intelligence artificielle
2021-09-01,10,intelligence artificielle
2021-10-01,13,intelligence artificielle
2021-11-01,13,intelligence artificielle
2021-12-01,13,intelligence artificielle
2022-01-01,17,intelligence artificielle
2022-02-01,15,intelligence artificielle
2022-03-01,18,intelligence artificielle
2022-04-01,16,intelligence artificielle
2022-05-01,14,intelligence artificielle
2022-06-01,12,intelligence artificielle
2022-07-01,9,intelligence artificielle
2022-08-01,9,intelligence artificielle
2022-09-01,13,intelligence artificielle
2022-10-01,14,intelligence artificielle
2022-11-01,17,intelligence artificielle
2022-12-01,23,intelligence artificielle
2023-01-01,44,intelligence artificielle
2023-02-01,36,intelligence artificielle
2023-03-01,42,intelligence artificielle
2023-04-01,53,intelligence artificielle
2023-05-01,48,intelligence artificielle
2023-06-01,37,intelligence artificielle
2023-07-01,22,intelligence artificielle
2023-08-01,22,intelligence artificielle
2023-09-01,32,intelligence artificielle
2023-10-01,31,intelligence artificielle
2023-11-01,40,intelligence artificielle
2023-12-01,39,intelligence artificielle
2024-01-01,40,intelligence artificielle
2024-02-01,40,intelligence artificielle
2024-03-01,38,intelligence artificielle
2024-04-01,34,intelligence artificielle
2024-05-01,36,intelligence artificielle
2024-06-01,31,intelligence artificielle
2024-07-01,25,intelligence artificielle
2024-08-01,23,intelligence artificielle
2024-09-01,30,intelligence artificielle
2024-10-01,36,intelligence artificielle
2024-11-01,39,intelligence artificielle
2024-12-01,40,intelligence artificielle
2025-01-01,58,intelligence artificielle
2025-02-01,100,intelligence artificielle
2025-03-01,69,intelligence artificielle
2025-04-01,59,intelligence artificielle
2025-05-01,34,intelligence artificielle
2025-06-01,35,intelligence artificielle
2025-07-01,29,intelligence artificielle
2025-08-01,25,intelligence artificielle
2025-09-01,34,intelligence artificielle
2025-10-01,33,intelligence artificielle
2025-11-01,36,intelligence artificielle
2025-12-01,32,intelligence artificielle
2020-01-01,35,machine learning
2020-02-01,37,machine learning
2020-03-01,32,machine learning
2020-04-01,35,machine learning
2020-05-01,34,machine learning
2020-06-01,35,machine learning
2020-07-01,30,machine learning
2020-08-01,27,machine learning
2020-09-01,35,machine learning
2020-10-01,32,machine learning
2020-11-01,31,machine learning
2020-12-01,29,machine learning
2021-01-01,34,machine learning
2021-02-01,34,machine learning
2021-03-01,36,machine learning
2021-04-01,31,machine learning
2021-05-01,29,machine learning
2021-06-01,28,machine learning
2021-07-01,23,machine learning
2021-08-01,19,machine learning
2021-09-01,28,machine learning
2021-10-01,31,machine learning
2021-11-01,36,machine learning
2021-12-01,31,machine learning
2022-01-01,40,machine learning
2022-02-01,46,machine learning
2022-03-01,50,machine learning
2022-04-01,45,machine learning
2022-05-01,45,machine learning
2022-06-01,43,machine learning
2022-07-01,34,machine learning
2022-08-01,30,machine learning
2022-09-01,38,machine learning
2022-10-01,44,machine learning
2022-11-01,44,machine learning
2022-12-01,36,machine learning
2023-01-01,46,machine learning
2023-02-01,43,machine learning
2023-03-01,43,machine learning
2023-04-01,41,machine learning
2023-05-01,39,machine learning
2023-06-01,39,machine learning
2023-07-01,32,machine learning
2023-08-01,29,machine learning
2023-09-01,36,machine learning
2023-10-01,40,machine learning
2023-11-01,42,machine learning
2023-12-01,34,machine learning
2024-01-01,40,machine learning
