date,valeur,mot_cle
2022-06-01,61,automatisation
2022-07-01,44,automatisation
2022-08-01,43,automatisation
2022-09-01,60,automatisation
2022-10-01,55,automatisation
2022-11-01,57,automatisation
2022-12-01,47,automatisation
2023-01-01,64,automatisation
2023-02-01,58,automatisation
2023-03-01,63,automatisation
2023-04-01,55,automatisation
2023-05-01,51,automatisation
2023-06-01,61,automatisation
2023-07-01,50,automatisation
2023-08-01,47,automatisation
2023-09-01,58,automatisation
2023-10-01,59,automatisation
2023-11-01,65,automatisation
2023-12-01,66,automatisation
2024-01-01,75,automatisation
2024-02-01,72,automatisation
2024-03-01,68,automatisation
2024-04-01,74,automatisation
2024-05-01,73,automatisation
2024-06-01,75,automatisation
2024-07-01,60,automatisation
2024-08-01,58,automatisation
2024-09-01,73,automatisation
2024-10-01,74,automatisation
2024-11-01,81,automatisation
2024-12-01,73,automatisation
2025-01-01,89,automatisation
2025-02-01,90,automatisation
2025-03-01,92,automatisation
2025-04-01,86,automatisation
2025-05-01,78,automatisation
2025-06-01,86,automatisation
2025-07-01,74,automatisation
2025-08-01,73,automatisation
2025-09-01,84,automatisation
2025-10-01,80,automatisation
2025-11-01,89,automatisation
2025-12-01,100,automatisation
2020-01-01,8,cybersécurité
2020-02-01,7,cybersécurité
2020-03-01,6,cybersécurité
2020-04-01,5,cybersécurité
2020-05-01,5,cybersécurité
2020-06-01,6,cybersécurité
2020-07-01,6,cybersécurité
2020-08-01,5,cybersécurité
2020-09-01,7,cybersécurité
2020-10-01,8,cybersécurité
2020-11-01,8,cybersécurité
2020-12-01,7,cybersécurité
2021-01-01,8,cybersécurité
2021-02-01,10,cybersécurité
2021-03-01,10,cybersécurité
2021-04-01,8,cybersécurité
2021-05-01,8,cybersécurité
2021-06-01,9,cybersécurité
2021-07-01,9,cybersécurité
2021-08-01,7,cybersécurité
2021-09-01,11,cybersécurité
2021-10-01,10,cybersécurité
2021-11-01,11,cybersécurité
2021-12-01,10,cybersécurité
2022-01-01,14,cybersécurité
2022-02-01,15,cybersécurité
2022-03-01,18,cybersécurité
2022-04-01,14,cybersécurité
2022-05-01,15,cybersécurité
2022-06-01,15,cybersécurité
2022-07-01,11,cybersécurité
2022-08-01,10,cybersécurité
2022-09-01,15,cybersécurité
2022-10-01,17,cybersécurité
2022-11-01,16,cybersécurité
2022-12-01,13,cybersécurité
2023-01-01,18,cybersécurité
2023-02-01,18,cybersécurité
2023-03-01,21,cybersécurité
2023-04-01,18,cybersécurité
2023-05-01,17,cybersécurité
2023-06-01,19,cybersécurité
2023-07-01,15,cybersécurité
2023-08-01,13,cybersécurité
2023-09-01,20,cybersécurité
2023-10-01,22,cybersécurité
2023-11-01,21,cybersécurité
2023-12-01,18,cybersécurité
2024-01-01,21,cybersécurité
2024-02-01,25,cybersécurité
2024-03-01,24,cybersécurité
2024-04-01,22,cybersécurité
2024-05-01,21,cybersécurité
2024-06-01,21,cybersécurité
2024-07-01,17,cybersécurité
2024-08-01,14,cybersécurité
2024-09-01,25,cybersécurité
2024-10-01,24,cybersécurité
2024-11-01,21,cybersécurité
2024-12-01,18,cybersécurité
2025-01-01,23,cybersécurité
2025-02-01,100,cybersécurité
2025-03-01,93,cybersécurité
2025-04-01,85,cybersécurité
2025-05-01,19,cybersécurité
2025-06-01,21,cybersécurité
2025-07-01,17,cybersécurité
2025-08-01,13,cybersécurité
2025-09-01,22,cybersécurité
2025-10-01,21,cybersécurité
2025-11-01,21,cybersécurité
2025-12-01,19,cybersécurité
2020-01-01,32,cloud computing
2020-02-01,30,cloud computing
2020-03-01,29,cloud computing
2020-04-01,29,cloud computing
2020-05-01,27,cloud computing
2020-06-01,24,cloud computing
2020-07-01,19,cloud computing
2020-08-01,19,cloud computing
2020-09-01,28,cloud computing
2020-10-01,27,cloud computing
2020-11-01,31,cloud computing
2020-12-01,26,cloud computing
2021-01-01,29,cloud computing
2021-02-01,32,cloud computing
2021-03-01,33,cloud computing
2021-04-01,24,cloud computing
2021-05-01,23,cloud computing
2021-06-01,22,cloud computing
2021-07-01,19,cloud computing
2021-08-01,19,cloud computing
2021-09-01,26,cloud computing
2021-10-01,25,cloud computing
2021-11-01,30,cloud computing
2021-12-01,27,cloud computing
2022-01-01,33,cloud computing
2022-02-01,34,cloud computing
2022-03-01,36,cloud computing
2022-04-01,32,cloud computing
2022-05-01,32,cloud computing
2022-06-01,24,cloud computing
2022-07-01,22,cloud computing
2022-08-01,17,cloud computing
